,FID,id,Residential_300m,Commercial_300m,Av_traffic_300m,Roads_300m
1,30749,168,0,0,25.03702846,1019.935517
2,48919,212,60264.09543,0,4486.880556,3990.064356
3,36963,215,38374.60894,0,1594.79054,4335.025615
4,36937,316,166648.8378,46554.82809,1313.662001,4600.692631
5,19532,325,200046.4395,0,2276.540584,4134.230251
6,45679,331,205000.694,0,1295.927372,4049.28535
7,28028,445,0,0,12.63626619,927.0872079
8,45089,605,165840.3621,0,151.8093909,2976.470439
9,34914,648,235676.9933,0,1604.903695,3901.964393
10,38216,698,178626.0542,10191.99918,4036.436247,5567.027493
11,34459,740,0,0,1593.850606,1871.062339
12,48457,749,0,0,0,0
13,45188,796,186971.3673,35414.34456,322.4611553,3217.738195
14,37489,799,95979.46409,0,187.0186937,2926.271023
15,331,852,139198.7705,0,61.80771935,1781.705772
16,48816,1123,268562.8981,0,181.234165,3155.825165
17,46156,1175,106515.8312,0,2397.430367,4150.353738
18,30836,1296,83582.10734,0,189.0859151,2855.80504
19,47982,1391,258906.4943,0,25.54672454,3384.544986
20,48452,1464,4346.219733,31697.71138,2578.40854,2595.790091
21,48745,1486,85962.62886,0,0,880.9964041
22,48492,1586,2868.16429,0,69.6391184,1336.115467
23,28647,1662,181979.0399,0,214.4704347,2671.87759
24,43400,1695,20165.72614,0,956.1759594,2447.055839
25,50390,1728,53877.07403,0,816.98545,2262.895008
26,41474,1748,194875.3836,0,458.1831763,3515.146067
27,41827,1809,49038.69936,0,1461.516429,3247.338851
28,41799,1828,0,0,0,634.5542835
29,51419,1837,150583.4581,0,1214.562837,5117.97519
30,44516,1869,141789.7267,0,2227.18368,3932.956937
31,44807,1984,184854.2442,0,2488.108846,4089.633012
32,47037,2066,0,0,0,0
33,49577,2111,29459.71747,0,2543.229935,2862.113068
34,42706,2141,126145.2481,0,0,634.7954335
35,47767,2214,229420.8302,599.6303723,1514.186359,3707.561862
36,38124,2332,0,0,0,817.6180885
37,34680,2383,102313.0746,3422.927866,541.9508443,1799.347527
38,51311,2427,119926.3196,0,501.3450493,2086.590315
39,33850,2442,233730.8284,0,525.5030802,4148.847045
40,43661,2455,166134.9149,0,827.8993509,4589.230537
41,51773,2630,0,0,7507.139208,4302.182302
42,35435,2634,220494.9923,0,0,1574.099303
43,38931,2698,92031.69833,0,585.8797757,2381.161649
44,48486,2731,0,0,3.082634954,601.4889675
45,49814,2778,148094.6889,0,497.2081267,2146.666057
46,47601,2916,233746.1172,0,185.1837782,3480.69978
47,50707,2919,278252.2608,0,97.15378986,3752.979291
48,45254,2927,276395.8592,0,415.4217832,3882.667143
49,33636,2966,245041.5021,0,702.1585516,3860.948784
50,47624,2976,184926.815,0,467.6851194,2451.056637
51,40734,3271,282618.3637,0,213.4707529,3995.166226
52,37454,3332,150305.5125,0,1196.993891,4613.318368
53,48274,3336,170809.8645,0,100.0150063,2266.450933
54,32227,3678,230053.6866,0,129.5086495,2751.215982
55,39101,3794,76991.09452,0,494.5197859,2108.97402
56,33601,3902,265287.1674,0,610.3408529,3874.613558
57,29500,3942,207061.439,75.93921014,1558.893082,3027.14151
58,45948,4011,197452.5338,0,807.3394759,2749.872806
59,45121,4082,163962.5063,457.9811638,821.4460121,4410.058809
60,36247,4139,226042.6656,0,501.3595839,4290.761685
61,50199,4232,206234.2681,0,666.081689,5121.605334
62,45110,4252,125900.0803,0,2.302035011,614.0945706
63,45873,4301,0,0,0,0
64,43463,4325,17688.06137,0,322.0415267,1329.990433
65,51381,4366,0,0,0,138.4942937
66,48845,4411,254869.4867,0,1139.200674,4645.046176
67,44372,4568,245433.9941,0,68.7785645,4538.712038
68,40579,4601,208741.0065,0,219.6533132,4261.335622
69,44563,4625,0,0,0,330.1296055
70,40375,4661,269342.5622,0,795.7917191,4085.115869
71,47289,4676,53122.22889,0,0,716.7481647
72,50388,4764,258225.3039,0,360.7421592,4084.988795
73,47206,4852,75228.51285,0,715.2464219,3319.151255
74,47943,4858,70038.48915,0,286.3402649,1295.237465
75,38887,4880,190674.4861,0,65.90084319,3657.118558
76,50456,4898,15440.8611,0,1552.355005,1901.59864
77,45778,5010,0,0,0,436.3137228
78,23378,5235,233425.8859,0,17.51711705,3670.302023
79,51827,5286,0,0,857.0029896,1559.132276
80,38097,5388,237862.1436,15323.86489,729.0582046,2292.966089
81,41079,5425,211342.7107,0,739.4807494,2733.668248
82,41361,5491,20270.16809,0,244.7482405,1572.177882
83,38278,5583,275.5221293,0,0,0
84,40892,5608,29741.97032,0,0,432.241149
85,45073,5814,209888.9964,0,1594.857255,4186.131878
86,42773,5844,179962.4149,0,23.12611453,3205.744459
87,43871,5873,117243.9006,67439.60139,2761.944992,4769.611069
88,44997,5993,141272.8182,0,1218.335415,4111.245034
89,42846,6016,131538.5285,0,29.42483888,2522.981719
90,41767,6037,119889.8002,0,84.04150451,2440.372584
91,51172,6140,136143.5576,0,640.2415582,4090.299641
92,47493,6141,230448.1668,51127.76017,106.2498268,4610.562591
93,50461,6286,179824.6143,26819.21215,12136.83579,5149.226708
94,44345,6359,0,0,0,755.1313034
95,51355,6392,263993.4911,0,79.10072983,3855.076694
96,46180,6449,0,0,4213.764175,3260.412022
97,48268,6486,94074.42192,0,0,775.98103
98,39978,6556,102545.3144,0,402.8248607,1730.581749
99,42509,6578,0,0,0,459.6793538
100,49061,6611,35741.25138,0,11.23480396,1674.645048
101,41851,6768,0,0,39.31660358,338.434279
102,44488,6862,112323.9077,0,165.530826,2289.409771
103,49783,7054,282618.3637,0,147.2634359,4101.556214
104,35233,7067,282618.3637,0,0,834.6628058
105,22553,7159,148488.972,0,1659.612805,2917.025924
106,41231,7215,216556.0303,0,452.230517,4171.031349
107,26552,7228,113938.3159,44640.85823,1999.074862,4395.249907
108,51184,7297,131608.8859,0,224.6037807,1158.106773
109,38558,7299,114834.2844,0,10089.83106,5108.286929
110,34677,7361,260118.5734,0,0,3047.316033
111,42732,7392,228572.5689,0,279.4233633,3598.851323
112,31886,7399,186167.2887,28113.8879,3186.114468,4819.054216
113,48321,7548,78980.98386,66372.15612,2800.505085,4586.307882
114,31036,7615,489.3358317,0,60.88256992,1014.788267
115,50757,7663,0,0,0,0
116,29331,7703,0,0,0,81.74833271
